Gender,Age,Annual_Income,Income_Type,Employment_Status,Education,Credit_History,Approved
Male,65,143128,Commercial Associate,Employed,Higher Education,Good,1
Female,19,17187,State Servant,Unemployed,Academic Degree,Good,1
Male,23,92243,State Servant,Employed,Lower Secondary,Good,1
Male,45,50098,Pensioner,Unemployed,Higher Education,Good,1
Male,70,167297,Commercial Associate,Employed,Academic Degree,Bad,0
Female,46,149678,State Servant,Unemployed,Higher Education,Good,1
Male,43,72620,Pensioner,Unemployed,Lower Secondary,Good,1
Male,42,178900,Pensioner,Unemployed,Incomplete Higher,Good,1
Male,29,141270,Working,Employed,Incomplete Higher,Bad,0
Female,22,172561,Pensioner,Unemployed,Academic Degree,Good,1
Male,51,29387,State Servant,Employed,Secondary / Secondary Special,Bad,0
Male,65,84463,Working,Employed,Lower Secondary,Good,1
Male,54,148663,Commercial Associate,Employed,Academic Degree,Bad,0
Male,32,106683,Commercial Associate,Employed,Academic Degree,Good,1
Female,61,77061,State Servant,Unemployed,Incomplete Higher,Good,1
Male,53,96257,State Servant,Unemployed,Higher Education,Good,0
Female,32,76753,Working,Unemployed,Lower Secondary,Good,1
Female,60,99774,Working,Employed,Higher Education,Good,1
Female,65,157159,State Servant,Unemployed,Lower Secondary,Good,1
Male,40,176888,State Servant,Employed,Secondary / Secondary Special,Good,1
Female,23,38408,Commercial Associate,Employed,Incomplete Higher,Good,1
Male,63,139116,Commercial Associate,Employed,Secondary / Secondary Special,Bad,0
Female,67,146208,Commercial Associate,Unemployed,Academic Degree,Good,1
Female,61,32413,State Servant,Unemployed,Incomplete Higher,Bad,0
Female,60,128650,Pensioner,Employed,Academic Degree,Good,1
Female,62,74500,State Servant,Unemployed,Secondary / Secondary Special,Good,0
Female,38,99514,State Servant,Unemployed,Lower Secondary,Good,0
Female,40,71358,Commercial Associate,Employed,Academic Degree,Good,1
Female,60,81197,State Servant,Employed,Higher Education,Bad,0
Female,72,178926,Working,Unemployed,Lower Secondary,Good,1
Male,33,91240,State Servant,Employed,Lower Secondary,Bad,0
Male,64,31322,State Servant,Employed,Secondary / Secondary Special,Bad,0
Female,70,128053,State Servant,Unemployed,Secondary / Secondary Special,Good,1
Female,32,21968,State Servant,Unemployed,Incomplete Higher,Bad,0
Female,42,42518,Pensioner,Employed,Incomplete Higher,Good,1
Male,53,66925,State Servant,Unemployed,Higher Education,Bad,0
Female,28,126900,Working,Employed,Lower Secondary,Good,1
Male,68,108422,Working,Employed,Higher Education,Good,1
Male,32,16700,State Servant,Unemployed,Higher Education,Bad,0
Male,21,108782,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Male,38,38199,Pensioner,Employed,Higher Education,Good,1
Male,30,178187,State Servant,Employed,Higher Education,Good,1
Female,39,20520,State Servant,Unemployed,Academic Degree,Good,0
Female,36,124814,State Servant,Unemployed,Incomplete Higher,Good,1
Female,51,138364,Commercial Associate,Unemployed,Incomplete Higher,Bad,0
Female,31,29955,Commercial Associate,Employed,Lower Secondary,Good,1
Female,21,159989,Commercial Associate,Employed,Incomplete Higher,Good,1
Male,65,79925,Pensioner,Unemployed,Lower Secondary,Good,1
Female,70,122216,Working,Unemployed,Academic Degree,Good,1
Female,69,85269,Pensioner,Unemployed,Incomplete Higher,Good,1
Male,63,177026,Commercial Associate,Employed,Academic Degree,Bad,1
Female,44,56458,Working,Unemployed,Incomplete Higher,Bad,0
Male,46,104037,Working,Employed,Incomplete Higher,Good,1
Female,64,167185,Commercial Associate,Unemployed,Academic Degree,Good,1
Male,45,114977,Commercial Associate,Employed,Higher Education,Bad,0
Female,52,58939,Pensioner,Employed,Higher Education,Bad,0
Female,25,44345,Commercial Associate,Unemployed,Higher Education,Good,1
Male,33,125107,Working,Employed,Higher Education,Good,1
Male,59,136866,State Servant,Unemployed,Incomplete Higher,Bad,0
Male,53,84166,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Male,47,112406,Commercial Associate,Employed,Academic Degree,Good,1
Male,35,64298,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Male,19,59942,Pensioner,Employed,Secondary / Secondary Special,Good,1
Male,66,18453,Commercial Associate,Unemployed,Lower Secondary,Good,0
Male,30,117811,Working,Unemployed,Higher Education,Good,1
Female,21,69935,Working,Unemployed,Incomplete Higher,Good,0
Female,43,137439,State Servant,Employed,Higher Education,Good,1
Male,42,23328,Commercial Associate,Employed,Higher Education,Good,1
Female,47,30534,Pensioner,Employed,Secondary / Secondary Special,Good,1
Female,28,100280,Working,Unemployed,Lower Secondary,Bad,0
Female,24,51320,State Servant,Unemployed,Higher Education,Bad,0
Female,48,64170,Commercial Associate,Employed,Academic Degree,Good,1
Male,61,115546,Working,Employed,Academic Degree,Good,1
Female,27,95201,Commercial Associate,Unemployed,Higher Education,Bad,0
Male,56,23640,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Female,30,176121,Working,Unemployed,Secondary / Secondary Special,Good,1
Female,48,151690,Working,Employed,Incomplete Higher,Bad,0
Female,24,147992,Working,Unemployed,Lower Secondary,Good,1
Male,73,58937,Commercial Associate,Employed,Secondary / Secondary Special,Bad,0
Female,66,158279,Commercial Associate,Employed,Incomplete Higher,Bad,0
Male,59,179044,State Servant,Unemployed,Academic Degree,Good,1
Female,59,156871,Pensioner,Unemployed,Academic Degree,Good,1
Male,73,174988,Commercial Associate,Unemployed,Academic Degree,Good,1
Female,53,85463,Pensioner,Employed,Higher Education,Good,1
Male,37,108500,Working,Unemployed,Lower Secondary,Good,1
Male,21,52158,Commercial Associate,Unemployed,Incomplete Higher,Good,1
Female,71,99607,State Servant,Employed,Lower Secondary,Good,1
Male,24,134639,State Servant,Unemployed,Higher Education,Bad,0
Female,71,86696,Pensioner,Unemployed,Incomplete Higher,Good,1
Female,18,76510,Working,Unemployed,Incomplete Higher,Good,1
Female,61,135076,Pensioner,Employed,Secondary / Secondary Special,Good,1
Female,73,73692,Working,Employed,Lower Secondary,Good,1
Female,62,145841,State Servant,Employed,Lower Secondary,Good,1
Female,59,30810,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Female,64,151198,State Servant,Employed,Academic Degree,Good,1
Female,30,176081,State Servant,Unemployed,Higher Education,Bad,0
Female,72,126718,Working,Unemployed,Lower Secondary,Bad,0
Female,39,105932,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Female,71,15192,Pensioner,Employed,Incomplete Higher,Good,1
Male,38,51413,State Servant,Employed,Secondary / Secondary Special,Good,1
Male,39,158888,State Servant,Unemployed,Academic Degree,Good,1
Female,45,54082,Working,Unemployed,Higher Education,Good,0
Female,26,80048,Commercial Associate,Employed,Academic Degree,Bad,0
Female,43,138130,Commercial Associate,Employed,Incomplete Higher,Good,1
Female,26,65940,State Servant,Employed,Incomplete Higher,Good,1
Female,32,178202,Commercial Associate,Unemployed,Incomplete Higher,Good,1
Female,27,55142,Commercial Associate,Employed,Incomplete Higher,Bad,0
Female,41,51468,Commercial Associate,Employed,Secondary / Secondary Special,Bad,0
Female,74,176770,Commercial Associate,Employed,Incomplete Higher,Good,1
Male,59,156727,State Servant,Unemployed,Incomplete Higher,Good,1
Female,25,176147,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Male,41,155431,Commercial Associate,Unemployed,Incomplete Higher,Good,1
Female,33,144048,Working,Unemployed,Academic Degree,Good,1
Female,66,57056,State Servant,Unemployed,Academic Degree,Bad,0
Male,43,66831,Pensioner,Employed,Lower Secondary,Good,1
Female,44,74191,Pensioner,Employed,Academic Degree,Bad,0
Male,54,136948,Working,Employed,Higher Education,Good,1
Female,21,179344,Working,Unemployed,Higher Education,Bad,0
Female,67,123117,State Servant,Employed,Higher Education,Bad,0
Male,41,29671,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Female,36,42048,Commercial Associate,Employed,Academic Degree,Good,1
Male,53,40963,Working,Employed,Higher Education,Good,1
Female,56,58954,Pensioner,Employed,Lower Secondary,Bad,0
Male,27,110430,State Servant,Employed,Secondary / Secondary Special,Good,1
Male,42,15717,Commercial Associate,Unemployed,Lower Secondary,Good,1
Female,35,26676,State Servant,Unemployed,Academic Degree,Good,0
Female,36,150506,Working,Unemployed,Incomplete Higher,Good,1
Male,53,133696,Pensioner,Unemployed,Lower Secondary,Good,1
Female,27,145830,Pensioner,Employed,Incomplete Higher,Good,1
Female,50,19994,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Female,72,19234,Pensioner,Unemployed,Lower Secondary,Good,1
Male,67,84300,Commercial Associate,Unemployed,Lower Secondary,Bad,0
Male,22,58949,Commercial Associate,Employed,Secondary / Secondary Special,Bad,0
Male,64,52405,State Servant,Unemployed,Secondary / Secondary Special,Good,0
Male,66,49872,Commercial Associate,Unemployed,Higher Education,Bad,0
Male,52,57215,Working,Employed,Academic Degree,Good,1
Male,61,38185,Working,Employed,Lower Secondary,Good,1
Male,51,56153,Pensioner,Unemployed,Lower Secondary,Good,1
Male,50,92535,Working,Unemployed,Secondary / Secondary Special,Good,1
Male,72,148653,State Servant,Employed,Secondary / Secondary Special,Good,1
Female,38,66717,Commercial Associate,Unemployed,Academic Degree,Good,1
Male,34,17763,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Female,39,107910,Commercial Associate,Unemployed,Incomplete Higher,Bad,0
Female,65,70480,Working,Unemployed,Incomplete Higher,Good,0
Female,54,133094,Commercial Associate,Unemployed,Incomplete Higher,Good,0
Male,32,171379,Pensioner,Unemployed,Incomplete Higher,Bad,0
Male,52,26064,Pensioner,Unemployed,Academic Degree,Bad,0
Male,45,91848,Pensioner,Employed,Lower Secondary,Good,1
Male,24,52548,Working,Employed,Incomplete Higher,Good,1
Female,49,21476,Commercial Associate,Unemployed,Secondary / Secondary Special,Good,0
Male,28,105101,Working,Unemployed,Incomplete Higher,Good,1
Male,27,17382,Commercial Associate,Unemployed,Academic Degree,Good,1
Male,26,179474,State Servant,Employed,Secondary / Secondary Special,Good,1
Male,31,173018,State Servant,Employed,Incomplete Higher,Bad,0
Male,30,94698,Working,Employed,Lower Secondary,Good,1
Female,74,168407,Pensioner,Employed,Secondary / Secondary Special,Bad,0
Male,42,60095,Working,Employed,Secondary / Secondary Special,Bad,0
Female,19,144974,Pensioner,Employed,Lower Secondary,Bad,0
Male,52,42197,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Female,24,142619,Pensioner,Employed,Incomplete Higher,Bad,0
Male,38,37010,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Male,35,170195,Commercial Associate,Employed,Incomplete Higher,Good,1
Female,20,102923,State Servant,Employed,Lower Secondary,Good,1
Female,59,148962,Commercial Associate,Employed,Higher Education,Good,1
Female,71,145526,Working,Employed,Lower Secondary,Bad,0
Male,56,124162,Working,Unemployed,Incomplete Higher,Bad,0
Female,58,135927,Working,Employed,Academic Degree,Good,1
Male,66,23026,Working,Unemployed,Lower Secondary,Good,0
Male,28,79925,Working,Unemployed,Academic Degree,Good,1
Female,56,83842,State Servant,Unemployed,Academic Degree,Good,1
Female,41,48665,State Servant,Employed,Incomplete Higher,Bad,0
Male,63,24277,Pensioner,Employed,Incomplete Higher,Good,1
Male,36,63008,Working,Employed,Higher Education,Bad,0
Female,21,29683,Commercial Associate,Unemployed,Secondary / Secondary Special,Good,1
Female,43,146742,Working,Unemployed,Lower Secondary,Good,1
Female,55,163961,State Servant,Unemployed,Incomplete Higher,Good,1
Male,59,93542,Working,Unemployed,Lower Secondary,Good,1
Male,49,69319,State Servant,Employed,Academic Degree,Good,1
Male,56,107067,Pensioner,Employed,Secondary / Secondary Special,Bad,0
Male,62,167711,Pensioner,Employed,Higher Education,Bad,1
Male,63,162705,Pensioner,Unemployed,Lower Secondary,Good,1
Male,53,83975,State Servant,Unemployed,Secondary / Secondary Special,Good,1
Female,57,178244,Working,Employed,Higher Education,Good,1
Male,54,116158,Working,Employed,Lower Secondary,Good,1
Male,50,26577,Commercial Associate,Unemployed,Secondary / Secondary Special,Good,0
Male,53,92299,State Servant,Employed,Incomplete Higher,Good,1
Female,20,35176,Commercial Associate,Employed,Lower Secondary,Bad,0
